ID,Name,Symbol,Slug,Date,Csupply
1,Bitcoin,BTC,bitcoin,2022-11-01T19:19:00Z,19195625
2,Ethereum,ETH,ethereum,2022-11-01T19:19:00Z,122373863.5
3,Tether,USDT,tether,2022-11-01T19:19:00Z,69419933938
4,BNB,BNB,bnb,2022-11-01T19:19:00Z,159978076.8
5,USD Coin,USDC,usd-coin,2022-11-01T19:19:00Z,43399546157
6,XRP,XRP,xrp,2022-11-01T19:19:00Z,50085407159
7,Binance USD,BUSD,binance-usd,2022-11-01T19:19:00Z,21394874602
8,Dogecoin,DOGE,dogecoin,2022-11-01T19:19:00Z,1.32671E+11
9,Cardano,ADA,cardano,2022-11-01T19:19:00Z,34330964729
10,Solana,SOL,solana,2022-11-01T19:19:00Z,359332312.9
11,Polygon,MATIC,polygon,2022-11-01T19:19:00Z,8734317475
12,Polkadot,DOT,polkadot-new,2022-11-01T19:19:00Z,1132167041
13,Shiba Inu,SHIB,shiba-inu,2022-11-01T19:19:00Z,5.49063E+14
14,Dai,DAI,multi-collateral-dai,2022-11-01T19:19:00Z,6116834419
15,TRON,TRX,tron,2022-11-01T19:19:00Z,92254434914
16,Avalanche,AVAX,avalanche,2022-11-01T19:19:00Z,298601530.3
17,Uniswap,UNI,uniswap,2022-11-01T19:19:00Z,762209326.5
18,Wrapped Bitcoin,WBTC,wrapped-bitcoin,2022-11-01T19:19:00Z,245479.7414
19,UNUS SED LEO,LEO,unus-sed-leo,2022-11-01T19:19:00Z,953954130
20,Cosmos,ATOM,cosmos,2022-11-01T19:19:00Z,286370297
21,Litecoin,LTC,litecoin,2022-11-01T19:19:00Z,71515668.73
22,Chainlink,LINK,chainlink,2022-11-01T19:19:00Z,491599970.5
23,FTX Token,FTT,ftx-token,2022-11-01T19:19:00Z,133135513.7
24,Ethereum Classic,ETC,ethereum-classic,2022-11-01T19:19:00Z,137686553.9
25,Cronos,CRO,cronos,2022-11-01T19:19:00Z,25263013692
26,Stellar,XLM,stellar,2022-11-01T19:19:00Z,25621745041
27,Monero,XMR,monero,2022-11-01T19:19:00Z,18195056.99
28,Algorand,ALGO,algorand,2022-11-01T19:19:00Z,7062641334
29,NEAR Protocol,NEAR,near-protocol,2022-11-01T19:19:00Z,817731461
30,Bitcoin Cash,BCH,bitcoin-cash,2022-11-01T19:19:00Z,19217075
31,Quant,QNT,quant,2022-11-01T19:19:00Z,12072738
32,Toncoin,TON,toncoin,2022-11-01T19:19:00Z,1221401181
33,VeChain,VET,vechain,2022-11-01T19:19:00Z,72511146418
34,Flow,FLOW,flow,2022-11-01T19:19:00Z,1036200000
35,Filecoin,FIL,filecoin,2022-11-01T19:19:00Z,312140322
36,Terra Classic,LUNC,terra-luna,2022-11-01T19:19:00Z,6.59029E+12
37,Elrond,EGLD,elrond-egld,2022-11-01T19:19:00Z,23635714.04
38,ApeCoin,APE,apecoin-ape,2022-11-01T19:19:00Z,306875000
39,Internet Computer,ICP,internet-computer,2022-11-01T19:19:00Z,268957185.5
40,Chain,XCN,chain,2022-11-01T19:19:00Z,21472783889
41,Chiliz,CHZ,chiliz,2022-11-01T19:19:00Z,6006975365
42,Hedera,HBAR,hedera,2022-11-01T19:19:00Z,22968168351
43,The Sandbox,SAND,the-sandbox,2022-11-01T19:19:00Z,1499470108
44,Huobi Token,HT,huobi-token,2022-11-01T19:19:00Z,153357694.3
45,Tezos,XTZ,tezos,2022-11-01T19:19:00Z,914596396.5
