Rank,Nombre,Simbolo,Cap,Precio,Circulacion,Vol,Hora,Dia,Semana,Fecha
1,Bitcoin,BTC,896000000000.00,47345.22,18918243.00,27951569547.00,0.12,-0.72,-6.82,02/01/2022
2,Ethereum,ETH,456000000000.00,3829.57,118998781.00,9881471548.00,0.13,1.59,-5.85,02/01/2022
3,Binance_Coin,BNB,88637570485.00,531.4,166801148.00,1462276185.00,0.05,0.77,-2.85,02/01/2022
4,Tether,USDT,78373882136.00,1,78337882507.00,43202922802.00,0.02,0,0,02/01/2022
5,Solana,SOL,54552495292.00,176.38,309284593.00,995389409.20,-0.22,-1.2,-10.92,02/01/2022
6,Cardano,ADA,46129061736.00,1.38,33485491062.00,881893010.40,0.42,0.04,-5.39,02/01/2022
7,USD_Coin,USDC,42562534941.00,1,42572544666.00,2491554185.00,0,-0.03,0.07,02/01/2022
8,XRP,XRP,40838984414.00,0.86,47535964473.00,1134033205.00,0.28,1.14,-6.74,02/01/2022
9,Terra,LUNA,32335168165.00,89.37,361805570.00,1332237742.00,-0.66,-2.18,-10.38,02/01/2022
10,Polkadot,DOT,29361884232.00,29.73,987579315.00,1217867246.00,-1.04,4.01,-5.11,02/01/2022
1,Bitcoin,BTC,793000000000.00,41911.6,18924506.00,21294384372.00,-0.7,0.43,-11.48,09/01/2022
2,Ethereum,ETH,376000000000.00,3157.75,119093797.00,12334683863.00,-0.73,2.13,-17.54,09/01/2022
3,Tether,USDT,78312801194.00,1,78292663468.00,49109221960.00,0.01,0.02,-0.02,09/01/2022
4,Binance_Coin,BNB,73192856244.00,438.8,166801148.00,3347862691.00,-0.33,1.99,-17.42,09/01/2022
5,Solana,SOL,43849094270.00,140.84,311341963.00,1599123912.00,-0.37,-1.17,-20.15,09/01/2022
6,USD_Coin,USDC,43635467097.00,1,43642646024.00,2921877299.00,0.01,0.03,0.01,09/01/2022
7,Cardano,ADA,39340035970.00,1.17,33513387744.00,1088569809.00,-0.88,-1.15,-14.79,09/01/2022
8,XRP,XRP,35897214432.00,0.75,47577198013.00,1182503166.00,-0.52,0.91,-12.18,09/01/2022
9,Terra,LUNA,26692037535.00,74.48,358401296.00,2317080034.00,-0.92,11.27,-16.67,09/01/2022
10,Polkadot,DOT,24321430602.00,24.63,987579315.00,1328484247.00,-0.46,2.49,-17.17,09/01/2022
1,Bitcoin,BTC,816000000000.00,43113.88,18931525.00,17902097845.00,-0.17,-0.15,2.87,16/01/2022
2,Ethereum,ETH,399000000000.00,3350.92,119188731.00,9505934874.00,0.1,0.61,6.12,16/01/2022
3,BNB,BNB,83138350006.00,498.43,166801148.00,1771927950.00,-0.26,0.69,13.59,16/01/2022
4,Tether,USDT,78432253977.00,1,78399566141.00,41551382127.00,0,-0.02,0.02,16/01/2022
5,Cardano,ADA,47180439513.00,1.41,33526676951.00,2436680646.00,-0.03,8.56,19.88,16/01/2022
6,Solana,SOL,46428403267.00,147.86,314009861.00,1172854751.00,0.04,0.04,4.98,16/01/2022
7,USD_Coin,USDC,45434277768.00,1,45448296433.00,2296999988.00,-0.07,0.02,-0.01,16/01/2022
8,XRP,XRP,37127364883.00,0.78,47663117635.00,1005077258.00,-0.07,-0.32,3.24,16/01/2022
9,Terra,LUNA,31185198012.00,86.96,358632502.00,1423445475.00,0.17,-0.71,16.76,16/01/2022
10,Polkadot,DOT,27321509198.00,27.67,987579315.00,1280576659.00,-0.29,-0.26,12.34,16/01/2022
1,Bitcoin,BTC,687000000000.00,36276.8,18938075.00,26017975951.00,2.27,3.56,-15.86,23/01/2022
2,Ethereum,ETH,302000000000.00,2535.04,119283868.00,16481489511.00,3.83,5.4,-24.35,23/01/2022
3,Tether,USDT,78350199962.00,1,78311766178.00,57296666670.00,0.02,0.03,0.01,23/01/2022
4,BNB,BNB,63393933785.00,383.93,165116761.00,2786834863.00,3.57,7.22,-22.97,23/01/2022
5,USD_Coin,USDC,47651385219.00,1,47644490426.00,4572234577.00,0,0.01,0.05,23/01/2022
6,Cardano,ADA,37644141351.00,1.12,33539825364.00,2362627205.00,3.87,5.22,-20.24,23/01/2022
7,Solana,SOL,31336377846.00,99.58,314691080.00,2548191912.00,3.79,5.73,-32.65,23/01/2022
8,XRP,XRP,30014890499.00,0.63,47736918345.00,1851934913.00,3.39,5.49,-19.28,23/01/2022
9,Terra,LUNA,28144622469.00,69.79,403283833.00,2761811982.00,4.86,11.5,-19.74,23/01/2022
10,Dogecoin,DOGE,18821109378.00,0.14,133000000000.00,1006234946.00,2.35,6.75,-19.93,23/01/2022
1,Bitcoin,BTC,718000000000.00,37917.6,18944393.00,14643548444.00,0.32,-0.58,4.52,30/01/2022
2,Ethereum,ETH,311000000000.00,2603.47,119378825.00,9501221177.00,1.07,0.25,2.7,30/01/2022
